Student_ID,Target
2701,Graduate
1142,Graduate
3538,Dropout
3000,Dropout
476,Graduate
4270,Dropout
3812,Dropout
2756,Graduate
478,Dropout
4127,Graduate
3222,Dropout
2426,Dropout
761,Graduate
2932,Dropout
1658,Dropout
1567,Graduate
2840,Graduate
2973,Graduate
2081,Graduate
460,Graduate
1707,Graduate
909,Enrolled
2402,Graduate
810,Graduate
4332,Graduate
1568,Graduate
1188,Dropout
1900,Graduate
349,Graduate
3724,Enrolled
3448,Graduate
1150,Graduate
4324,Dropout
2133,Graduate
4408,Graduate
4051,Dropout
2383,Graduate
2745,Dropout
78,Graduate
2538,Graduate
1148,Graduate
591,Graduate
738,Enrolled
332,Dropout
1413,Graduate
480,Graduate
2566,Graduate
2524,Dropout
1756,Enrolled
2164,Graduate
1020,Graduate
1443,Graduate
1818,Graduate
1773,Graduate
2293,Enrolled
3446,Graduate
2182,Graduate
2616,Dropout
3400,Graduate
3981,Graduate
2347,Enrolled
1349,Dropout
261,Graduate
1643,Graduate
504,Dropout
597,Dropout
4166,Graduate
1303,Enrolled
3529,Enrolled
3124,Graduate
4176,Graduate
2607,Graduate
2205,Graduate
1166,Graduate
1158,Graduate
1122,Graduate
2497,Graduate
556,Enrolled
1442,Graduate
4094,Graduate
708,Graduate
1853,Graduate
2769,Graduate
1531,Enrolled
1966,Graduate
2003,Graduate
2443,Dropout
274,Graduate
267,Graduate
1901,Graduate
4041,Graduate
4206,Graduate
2401,Dropout
4035,Dropout
275,Graduate
3860,Dropout
2419,Graduate
2368,Graduate
1718,Dropout
911,Graduate
3293,Dropout
1678,Graduate
4089,Graduate
704,Dropout
4185,Graduate
677,Graduate
743,Graduate
1739,Graduate
2296,Graduate
652,Dropout
1322,Dropout
4024,Graduate
3496,Graduate
234,Graduate
3322,Dropout
3071,Enrolled
3020,Graduate
3304,Graduate
1013,Graduate
3861,Enrolled
493,Graduate
3137,Graduate
125,Graduate
974,Graduate
3216,Graduate
3375,Graduate
1867,Dropout
368,Graduate
3302,Graduate
1167,Enrolled
1985,Graduate
4254,Dropout
421,Graduate
2507,Graduate
35,Graduate
1942,Graduate
4007,Graduate
751,Enrolled
3424,Graduate
811,Dropout
3901,Graduate
4000,Graduate
3972,Graduate
2555,Enrolled
3237,Graduate
2461,Dropout
352,Graduate
1569,Dropout
2802,Dropout
3551,Enrolled
1815,Dropout
3,Dropout
1092,Dropout
903,Graduate
2290,Dropout
4136,Graduate
2617,Dropout
3938,Enrolled
1938,Graduate
1076,Graduate
2610,Dropout
1994,Graduate
3643,Graduate
357,Graduate
3765,Graduate
109,Enrolled
1123,Graduate
2588,Dropout
2979,Graduate
3476,Graduate
3563,Dropout
1379,Dropout
3576,Graduate
4042,Graduate
2083,Graduate
13,Dropout
1511,Dropout
3282,Dropout
2465,Dropout
4205,Enrolled
989,Enrolled
1959,Graduate
814,Graduate
99,Graduate
4129,Enrolled
702,Enrolled
4178,Graduate
4387,Dropout
1419,Graduate
3984,Graduate
1181,Dropout
4239,Dropout
2844,Dropout
3599,Graduate
3704,Dropout
3800,Dropout
1360,Dropout
249,Enrolled
3235,Graduate
518,Dropout
2953,Enrolled
4273,Graduate
4321,Graduate
2114,Graduate
2174,Dropout
4322,Dropout
2761,Graduate
3364,Dropout
1093,Graduate
1693,Graduate
2127,Graduate
3556,Graduate
4130,Enrolled
3157,Enrolled
4236,Enrolled
868,Dropout
3397,Graduate
3834,Dropout
2021,Dropout
548,Enrolled
3231,Graduate
2418,Graduate
1798,Enrolled
3227,Graduate
3159,Enrolled
374,Graduate
881,Graduate
2025,Enrolled
1616,Enrolled
2186,Enrolled
2160,Enrolled
2187,Graduate
552,Graduate
1595,Graduate
1852,Graduate
3362,Graduate
422,Enrolled
792,Dropout
3896,Graduate
1729,Dropout
1835,Graduate
793,Graduate
3570,Dropout
3035,Graduate
4027,Graduate
1313,Graduate
1854,Graduate
3573,Dropout
973,Dropout
3892,Graduate
364,Graduate
2469,Enrolled
4260,Enrolled
1975,Graduate
2387,Enrolled
3339,Enrolled
2282,Enrolled
1723,Graduate
1098,Enrolled
2599,Graduate
3018,Graduate
2135,Graduate
3524,Enrolled
348,Graduate
863,Graduate
3281,Graduate
2054,Graduate
3593,Enrolled
1439,Graduate
2551,Graduate
3039,Graduate
2582,Dropout
1838,Enrolled
3156,Enrolled
2462,Dropout
4021,Dropout
2212,Graduate
3740,Enrolled
571,Graduate
32,Enrolled
2710,Enrolled
1214,Graduate
4086,Dropout
2905,Enrolled
3443,Graduate
365,Enrolled
3090,Dropout
1042,Graduate
4276,Enrolled
1473,Graduate
2067,Graduate
3737,Enrolled
1010,Graduate
2997,Graduate
2929,Graduate
1859,Graduate
2001,Dropout
1689,Graduate
2869,Graduate
4209,Dropout
1315,Enrolled
1802,Graduate
3686,Graduate
2266,Dropout
1011,Enrolled
1934,Graduate
3987,Graduate
2124,Dropout
231,Enrolled
1974,Graduate
1436,Dropout
1937,Enrolled
1734,Graduate
3889,Graduate
2311,Graduate
1810,Graduate
4315,Dropout
4023,Graduate
3884,Enrolled
796,Graduate
1946,Graduate
2272,Graduate
3650,Dropout
2852,Graduate
2341,Dropout
3611,Enrolled
2688,Dropout
1876,Graduate
434,Dropout
2249,Dropout
1948,Enrolled
3948,Dropout
4150,Graduate
3835,Graduate
2191,Graduate
414,Graduate
2038,Dropout
4247,Dropout
4181,Dropout
1417,Dropout
2794,Dropout
4345,Dropout
638,Enrolled
279,Graduate
4311,Graduate
2147,Graduate
2654,Dropout
475,Dropout
3212,Enrolled
4419,Graduate
2314,Graduate
1213,Graduate
1873,Graduate
1642,Graduate
